name,full_text,protasis,apodosis,witnesses,animal
"""32.A.50""",If a lizard repeatedly walks about on a man – his days will be long; a good message will be established for him.,If a lizard repeatedly walks about on a man,his days will be long; a good message will be established for him.,['VAT  10167'],lizard
"""32.A.16""",If a lizard falls onto a man's left hand – he will build a house using his daughters' dowries.,If a lizard falls onto a man's left hand,he will build a house using his daughters' dowries.,['VAT 10167'],lizard
"""32.A.17""",If a lizard falls onto a man's lap – that man will receive his son's profit; whatever he announces that he will do will be successful.,If a lizard falls onto a man's lap,that man will receive his son's profit; whatever he announces that he will do will be successful.,['VAT 10167'],lizard
"""32.A.18""",If a lizard falls onto a man's right foot – all of his possessions will disappear.,If a lizard falls onto a man's right foot,all of his possessions will disappear.,['VAT 10167'],lizard
"""32.A.3""","If a lizard falls on  – confusion, grief.",If a lizard falls on," confusion, grief.","['VAT 10167', 'VAT 10167', 'VAT 10167']",lizard
"""32.A.3""",If a lizard falls –confusion; trouble.,If a lizard falls,confusion; trouble.,"['VAT 10167', 'VAT 10167', 'VAT 10167']",lizard
"""32.A.4""",If a lizard  falls on  – all of his possessions will disappear.,If a lizard  falls on,all of his possessions will disappear.,"['VAT 10167', 'VAT 10167']",lizard
"""32.A.5""",If a lizard  falls on  – he will prevail over lit: stand on his legal adversary.,If a lizard  falls on,he will prevail over lit: stand on his legal adversary.,"['VAT 10167', 'VAT 10167']",lizard
"""32.A.6""",If a lizard  falls on  – the accomplishment of a desire will occur.,If a lizard  falls on,the accomplishment of a desire will occur.,"['VAT 10167', 'VAT 10167']",lizard
"""32.A.6""",If a lizard falls ...–attainment of his desire.,If a lizard falls ...,attainment of his desire.,"['VAT 10167', 'VAT 10167']",lizard
"""32.A.7""",If a lizard  falls on  – he will overcome his legal opponent.,If a lizard  falls on,he will overcome his legal opponent.,"['VAT 10167', 'VAT 10167']",lizard
"""32.A.33""",If a lizard falls onto the bed of a sick man – his sickness has befallen him.,If a lizard falls onto the bed of a sick man,his sickness has befallen him.,['VAT 10167'],lizard
"""32.A.34""",If a lizard falls onto a man against whom someone has brought a lawsuit or who has been thrown into prison – that man will succeed in his lawsuit; the man will get out of prison.,If a lizard falls onto a man against whom someone has brought a lawsuit or who has been thrown into prison,that man will succeed in his lawsuit; the man will get out of prison.,['VAT 10167'],lizard
"""32.A.35""",If a lizard falls into the fire in a brazier and gets out – that man will get out of prison.,If a lizard falls into the fire in a brazier and gets out,that man will get out of prison.,['VAT 10167'],lizard
"""32.A.96""",If lizards in a man's house often fall from the roof beams – abandonment of the house.,If lizards in a man's house often fall from the roof beams,abandonment of the house.,"['VAT 09793', 'VAT 09793', 'VAT  10167']",lizard
"""32.A.96""",If many lizards fall from the beams in a man's house–abandonment of the house.,If many lizards fall from the beams in a man's house,abandonment of the house.,"['VAT 09793', 'VAT 09793', 'VAT  10167']",lizard
"""32.A.97""","If entwined lizards fall onto a man but do not separate – confusion, worry.",If entwined lizards fall onto a man but do not separate," confusion, worry.","['VAT 09793', 'VAT  10167', 'VAT  10167']",lizard
"""32.A.98""",If entwined lizards ditto = fall onto a man and separate and remain seated in front of the street – he will see the downfall of his adversary.,If entwined lizards ditto = fall onto a man and separate and remain seated in front of the street,he will see the downfall of his adversary.,"['VAT 09793', 'VAT  10167', 'VAT  10167', 'VAT  10167']",lizard
"""32.A.100""",If entwined lizards fall onto a man and separate and one each  to the right and to the left   –  that man   he will take away.,If entwined lizards fall onto a man and separate and one each  to the right and to the left,that man   he will take away.,"['VAT 09793', 'VAT  10167', 'VAT  10167', 'VAT  10167']",lizard
"""32.A.41""",If a lizard falls into a bread basket – bread will be scarce for him.,If a lizard falls into a bread basket,bread will be scarce for him.,['VAT  10167'],lizard
"""32.A.42""",If a lizard crawls into a bread basked and lies down – ditto = bread will be scarce for him.,If a lizard crawls into a bread basked and lies down,ditto = bread will be scarce for him.,['VAT  10167'],lizard
"""32.A.43""",If a lizard falls into a jug of vinegar – a divine gift will be available to him.,If a lizard falls into a jug of vinegar,a divine gift will be available to him.,['VAT  10167'],lizard
"""32.A.44""",If a lizard falls into a water jug or a beer jug – that man will be vexed.,If a lizard falls into a water jug or a beer jug,that man will be vexed.,['VAT  10167'],lizard
"""32.A.45""",If a lizard falls into a beer-mash vessel – that house will lack a watering place.,If a lizard falls into a beer-mash vessel,that house will lack a watering place.,['VAT  10167'],lizard
"""32.A.111""",If lizards ... fall and don't separate – ...   fall.,If lizards ... fall and don't separate,...   fall.,"['VAT  10167', 'VAT  10167', 'VAT  10167']",lizard
"""32.A.VAT09906.64""",If a lizard in a man's house the entire day keeps making noise – there will be misfortune.,If a lizard in a man's house the entire day keeps making noise,there will be misfortune.,['VAT 09906'],lizard
"""32.A.VAT09906.65""",If a dead lizard is seen in a man's house – that house will diminish.,If a dead ditto = lizard is seen in a man's house,that house will diminish.,['VAT 09906'],lizard
